person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,aggressive_loan_flag,risk_inversion_score,person_gender_male,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes,income_bucket_Mid,income_bucket_High,income_bucket_Very High,predicted_status,actual_status
24.0,14283.0,1,1750.0,10.99,0.12,2.0,679,0,0.0019394117647058822,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1,1
30.0,41726.0,7,4000.0,13.49,0.1,5.0,528,0,0.0025500945179584124,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,1,1
24.0,29873.0,0,8500.0,7.9,0.28,3.0,635,0,0.003477987421383648,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,1,1
23.0,83531.0,0,9555.0,15.19,0.11,4.0,652,0,0.0025588055130168455,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,1,1
25.0,111676.0,0,2500.0,15.27,0.02,3.0,597,0,0.0005107023411371238,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,1,1
25.0,77835.0,3,14000.0,14.42,0.18,2.0,601,0,0.004311627906976744,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,1
29.0,21261.0,8,5000.0,8.9,0.24,7.0,537,0,0.003970260223048327,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,1,1
27.0,74312.0,9,6800.0,15.99,0.09,7.0,593,0,0.002422727272727273,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1
24.0,52007.0,3,10000.0,16.89,0.19,3.0,617,0,0.005192718446601942,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,1
26.0,28107.0,4,2500.0,6.76,0.09,2.0,598,0,0.0010156928213689482,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1,1
24.0,75821.0,4,20000.0,11.12,0.26,2.0,580,0,0.004976247848537005,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,1,1
27.0,36949.0,4,2400.0,17.49,0.06,10.0,605,0,0.0017316831683168315,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,1,1
25.0,57369.0,1,19750.0,15.7,0.34,4.0,647,1,0.008237654320987654,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1,1
29.0,23972.0,6,3270.0,12.28,0.14,6.0,662,0,0.002593061840120664,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1,1
32.0,43858.0,8,6000.0,16.07,0.14,10.0,633,0,0.003548580441640379,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,1,1
23.0,78886.0,1,20000.0,10.65,0.25,3.0,653,0,0.004071100917431193,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,1,1
28.0,39737.0,6,12000.0,7.88,0.3,9.0,655,0,0.0036036585365853656,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1,1
47.0,37069.0,23,8000.0,12.18,0.22,11.0,655,0,0.004084756097560975,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1,1
25.0,75581.0,3,5400.0,15.21,0.07,3.0,653,0,0.0016279816513761472,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1
27.0,83270.0,1,20674.0,12.14,0.25,7.0,709,0,0.004274647887323944,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,1,1
31.0,41846.0,7,10625.0,14.79,0.25,6.0,711,0,0.005193117977528089,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,1,1
24.0,29625.0,3,3500.0,15.65,0.12,3.0,676,0,0.0027740029542097488,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1,1
21.0,15134.0,2,3000.0,8.9,0.2,4.0,629,0,0.002825396825396826,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,1,1
40.0,63352.0,17,15000.0,18.62,0.24,16.0,617,0,0.0072310679611650485,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,1,1
28.0,83520.0,6,25000.0,19.41,0.3,5.0,675,0,0.008613905325443786,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1
41.0,38175.0,22,3700.0,16.32,0.1,17.0,632,0,0.0025781990521327016,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,1,1
28.0,45899.0,2,12000.0,11.01,0.26,9.0,644,0,0.004438139534883721,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1,1
24.0,73202.0,1,20000.0,11.14,0.27,2.0,536,0,0.005601117318435755,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,1,1
23.0,80565.0,0,30000.0,14.48,0.37,3.0,661,0,0.008093051359516617,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,1
22.0,59603.0,0,8000.0,14.96,0.13,2.0,570,0,0.0034059544658493874,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,1,1
25.0,58776.0,7,15000.0,11.01,0.26,2.0,654,0,0.004370381679389313,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,1,1
23.0,23727.0,5,3000.0,9.99,0.13,2.0,700,0,0.0018526390870185448,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,1
25.0,36510.0,2,4000.0,14.19,0.11,3.0,657,0,0.002372188449848024,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,1,1
32.0,55739.0,12,14458.0,11.06,0.26,9.0,666,0,0.0043112443778110954,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1,1
33.0,54005.0,10,2725.0,12.18,0.05,6.0,575,0,0.0010572916666666667,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,1,1
24.0,55452.0,0,19650.0,15.37,0.35,2.0,512,1,0.010486354775828459,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1,1
25.0,38201.0,5,11200.0,17.27,0.29,4.0,659,0,0.007588333333333332,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,1,1
23.0,66303.0,3,19000.0,11.14,0.29,2.0,611,0,0.005278758169934641,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1,1
28.0,18364.0,5,4000.0,13.11,0.22,8.0,661,0,0.004356797583081571,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1,1
31.0,26054.0,7,11000.0,8.59,0.42,6.0,570,0,0.0063183887915936945,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,1,1
31.0,58569.0,5,15000.0,14.53,0.26,6.0,544,0,0.006931743119266055,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1,1
28.0,112870.0,9,20000.0,14.74,0.18,8.0,562,0,0.004712611012433392,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1,1
23.0,66462.0,0,5000.0,16.49,0.08,4.0,644,0,0.002045271317829457,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,1,1
22.0,20109.0,1,4801.0,13.03,0.24,3.0,629,0,0.004963809523809523,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,1
26.0,51537.0,0,10000.0,14.7,0.19,4.0,638,0,0.004370892018779342,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1,1
37.0,24889.0,16,10000.0,17.14,0.4,11.0,716,1,0.009562064156206416,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1,1
29.0,73055.0,9,25000.0,13.47,0.34,11.0,644,0,0.007100465116279071,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,1
